Year,Month,EffectiveFederalFundsRate,RealGDP ,UnemploymentRate,InflationRate,CorePCE
1973,1,5.94,10.2,4.9,2.8,2.68
1973,2,6.58,10.2,5,2.8,2.73
1973,3,7.09,10.2,4.9,3,2.94
1973,4,7.12,4.6,5,3.2,3.29
1973,5,7.84,4.6,4.9,3.2,3.45
1973,6,8.49,4.6,4.9,3.2,3.69
1973,7,10.4,-2.2,4.8,3.2,3.84
1973,8,10.5,-2.2,4.8,3.2,4.11
1973,9,10.78,-2.2,4.8,3.8,4.28
1973,10,10.01,3.8,4.6,4.3,4.62
1973,11,10.03,3.8,4.8,4.5,4.85
1973,12,9.95,3.8,4.9,4.7,5.11
1974,1,9.65,-3.3,5.1,4.9,5.57
1974,2,8.97,-3.3,5.2,5.4,5.91
1974,3,9.35,-3.3,5.1,5.8,6.3
1974,4,10.51,1.1,5.1,6.2,6.48
1974,5,11.31,1.1,5.1,6.8,7.09
1974,6,11.93,1.1,5.4,7.9,7.72
1974,7,12.92,-3.8,5.5,8.8,8.22
1974,8,12.01,-3.8,5.5,9.6,8.75
1974,9,11.34,-3.8,5.9,10.2,9.18
1974,10,10.06,-1.6,6,10.6,9.61
1974,11,9.45,-1.6,6.6,11.2,9.88
1974,12,8.53,-1.6,7.2,11.1,10.05
1975,1,7.13,-4.7,8.1,11.5,10.15
1975,2,6.24,-4.7,8.1,11.7,10.22
1975,3,5.54,-4.7,8.6,11.4,9.94
1975,4,5.49,3.1,8.8,11.3,9.65
1975,5,5.22,3.1,9,10.5,9.07
1975,6,5.55,3.1,8.8,9.6,8.49
1975,7,6.1,6.8,8.6,9.1,8.2
1975,8,6.14,6.8,8.4,8.2,7.54
1975,9,6.24,6.8,8.4,7.7,7.16
1975,10,5.82,5.5,8.4,7,6.85
1975,11,5.22,5.5,8.3,6.8,6.78
1975,12,5.2,5.5,8.2,6.7,6.68
1976,1,4.87,9.3,7.9,6.7,6.6
1976,2,4.77,9.3,7.7,6.5,6.28
1976,3,4.84,9.3,7.6,6.6,6.07
1976,4,4.82,3.1,7.7,6.4,5.97
1976,5,5.29,3.1,7.4,6.5,6.03
1976,6,5.48,3.1,7.6,6.5,5.93
